Well,Treatment/ID,Timepoint (h),Mean Firing Rate (Hz),Synchrony Index
B8,Tripli - 83 000 - TIC10 2.5uM,72,0.000729,
C1,Tripli - 83 000 C - Tyrphostin 9 2.5uM,72,0.043143,0
C2,Tripli - 83 000 - TIC10 2.5uM,72,0,
C3,,72,,
C4,,72,,
C5,Tripli - 83 000 - TIC10 2.5uM,72,0,
C6,,72,,
C7,,72,,
C8,,72,,
D1,,72,,
D2,WT - 83 000 C - TIC10 2.5uM,72,0.050438,0.002099
D3,,72,,
D4,,72,,
D5,,72,,
D6,,72,,
D7,,72,,
D8,,72,,
E1,WT - 83 000 C - Tyrphostin 9 2.5uM,72,0.004377,0.001265
E2,WT - 83 000 C - TIC10 2.5uM,72,0.042101,
E3,,72,,
E4,WT - 83 000 C - Tyrphostin 9 2.5uM,72,0.298145,
E5,WT - 83 000 C - TIC10 2.5uM,72,0,
E6,WT - 83 000 C - DMSO,72,0.000938,0
E7,,72,,
E8,,72,,
F1,,72,,
F2,,72,,
F3,WT - 83 000 C - DMSO,72,0.121405,0.003503
F4,,72,,
F5,WT - 83 000 C - TIC10 2.5uM,72,0,
F6,WT - 83 000 C - DMSO,72,1.042309,0.05669
F7,WT - 83 000 C - Tyrphostin 9 2.5uM,72,0.043143,0
F8,,72,,
