SC_cat,BatchID,CpdID,SC_Target_name,Concentration (M),Destination Well,Destination Plate Barcode
S1789,S1789-01,Tetrabenazine (Xenazine),Dopamine Receptor,5.00E-06,E18,PD-SC1-01
S1777,S1777-01,Ethionamide,Anti-infection,5.00E-06,K6,PD-SC1-01
S1832,S1832-01,Atracurium Besylate,AChR,5.00E-06,N18,PD-SC1-01
S1805,S1805-01,Acetylcholine Chloride,AChR,5.00E-06,I15,PD-SC1-01
S1835,S1835-01,Azithromycin,Anti-infection#Autophagy,5.00E-06,F17,PD-SC1-01
S1480,S1480-01,Lomibuvir,HCV Protease,5.00E-06,C5,PD-SC1-01
S1845,S1845-01,Cimetidine ,Histamine Receptor,5.00E-06,F11,PD-SC1-01
S1792,S1792-01,Simvastatin ,HMG-CoA Reductase,5.00E-06,M3,PD-SC1-01
S1764,S1764-01,Rifampin,DNA/RNA Synthesis,5.00E-06,J21,PD-SC1-01
S1747,S1747-01,Nimodipine,Autophagy#Calcium Channel,5.00E-06,E15,PD-SC1-01
S1762,S1762-01,Pyrazinamide,Anti-infection,5.00E-06,C16,PD-SC1-01
S1761,S1761-01,Suprofen ,COX,5.00E-06,I7,PD-SC1-01
S1754,S1754-01,Oxybutynin ,AChR,5.00E-06,G8,PD-SC1-01
S1848,S1848-01,Curcumin,NF-kappaB#HDAC#Histone Acetyltransferase#Nrf2,5.00E-06,N17,PD-SC1-01
S1742,S1742-01,Nevirapine ,Reverse Transcriptase,5.00E-06,M17,PD-SC1-01
S1739,S1739-01,Thiabendazole,P450 (e.g. CYP17),5.00E-06,K19,PD-SC1-01
S1737,S1737-01,Prednisolone ,Immunology & Inflammation related#Glucocorticoid Receptor,5.00E-06,H19,PD-SC1-01
S1736,S1736-01,Methocarbamol ,Carbonic Anhydrase,5.00E-06,C6,PD-SC1-01
S1734,S1734-01,Meloxicam,COX,5.00E-06,H11,PD-SC1-01
S1733,S1733-01,Methylprednisolone,Glucocorticoid Receptor#Immunology & Inflammation related,5.00E-06,M10,PD-SC1-01
S1723,S1723-01,Indomethacin ,COX,5.00E-06,L9,PD-SC1-01
S1713,S1713-01,Piroxicam ,COX,5.00E-06,N10,PD-SC1-01
S1706,S1706-01,Lamivudine ,Reverse Transcriptase,5.00E-06,E22,PD-SC1-01
S1763,S1763-01,Quetiapine Fumarate,Dopamine Receptor,5.00E-06,C3,PD-SC1-01
S1849,S1849-01,Daidzein,Others,5.00E-06,H15,PD-SC1-01
S2025,S2025-01,Urapidil HCl,5-HT Receptor,5.00E-06,I17,PD-SC1-01
S1869,S1869-01,Dapoxetine HCl ,5-HT Receptor,5.00E-06,H16,PD-SC1-01
S1913,S1913-01,Tropicamide,AChR,5.00E-06,F19,PD-SC1-01
S1914,S1914-01,Pregnenolone,Estrogen/progestogen Receptor,5.00E-06,K10,PD-SC1-01
S1903,S1903-01,Diclofenac Sodium,COX,5.00E-06,E10,PD-SC1-01
S1907,S1907-01,Metronidazole ,DNA/RNA Synthesis,5.00E-06,G4,PD-SC1-01
S1915,S1915-01,Sulfamethoxazole,Anti-infection,5.00E-06,E21,PD-SC1-01
S1902,S1902-01,Vitamin B12,Vitamin,5.00E-06,E20,PD-SC1-01
S1920,S1920-01,Haloperidol ,Dopamine Receptor,5.00E-06,H3,PD-SC1-01
S1937,S1937-01,Isoniazid,Fatty Acid Synthase,5.00E-06,N20,PD-SC1-01
S1940,S1940-01,Levofloxacin,Topoisomerase,5.00E-06,C19,PD-SC1-01
S1949,S1949-01,Menadione,DNA/RNA Synthesis#phosphatase,5.00E-06,K22,PD-SC1-01
S1950,S1950-01,Metformin HCl ,Autophagy,5.00E-06,D9,PD-SC1-01
S1859,S1859-01,Diethylstilbestrol,Estrogen/progestogen Receptor,5.00E-06,N5,PD-SC1-01
S1956,S1956-01,Miconazole Nitrate,Anti-infection,5.00E-06,K3,PD-SC1-01
S1960,S1960-01,Pranoprofen,COX,5.00E-06,D6,PD-SC1-01
S1965,S1965-01,Primidone ,Sodium Channel,5.00E-06,C21,PD-SC1-01
S1972,S1972-01,Tamoxifen Citrate,Estrogen/progestogen Receptor#Autophagy,5.00E-06,G16,PD-SC1-01
S1978,S1978-01,Methscopolamine,AChR,5.00E-06,I5,PD-SC1-01
S2006,S2006-01,Pyrimethamine,DHFR,5.00E-06,F4,PD-SC1-01
S2007,S2007-01,Sulindac ,COX,5.00E-06,H21,PD-SC1-01
S2011,S2011-01,Pramipexole 2HCl Monohydrate ,Dopamine Receptor,5.00E-06,M19,PD-SC1-01
S1705,S1705-01,Progesterone,Estrogen/progestogen Receptor,5.00E-06,N21,PD-SC1-01
S1896,S1896-01,Hydroxyurea,DNA/RNA Synthesis,5.00E-06,C9,PD-SC1-01
S1885,S1885-01,Felodipine ,Calcium Channel,5.00E-06,G3,PD-SC1-01
S1878,S1878-01,Ganciclovir,Anti-infection,5.00E-06,G22,PD-SC1-01
S1959,S1959-01,Tolfenamic Acid,COX,5.00E-06,J5,PD-SC1-01
S1702,S1702-01,Didanosine,Reverse Transcriptase,5.00E-06,L6,PD-SC1-01
S1793,S1793-01,Ramipril ,RAAS,5.00E-06,M6,PD-SC1-01
S1692,S1692-01,Busulfan ,DNA alkylator,5.00E-06,L7,PD-SC1-01
S1607,S1607-01,Rizatriptan Benzoate ,5-HT Receptor,5.00E-06,H9,PD-SC1-01
S1578,S1578-01,Candesartan ,RAAS,5.00E-06,M22,PD-SC1-01
S1567,S1567-01,Pomalidomide,TNF-alpha,5.00E-06,C17,PD-SC1-01
S1505,S1505-01,Aztreonam,Anti-infection,5.00E-06,J3,PD-SC1-01
S1497,S1497-01,Pralatrexate ,DHFR,5.00E-06,I3,PD-SC1-01
S1488,S1488-01,Naratriptan HCl,5-HT Receptor,5.00E-06,E4,PD-SC1-01
S1486,S1486-01,AEE788,EGFR#HER2#VEGFR,5.00E-06,F9,PD-SC1-01
S1483,S1483-01,Iloperidone,5-HT Receptor,5.00E-06,F20,PD-SC1-01
S1693,S1693-01,Carbamazepine ,Sodium Channel#Autophagy,5.00E-06,C4,PD-SC1-01
S1652,S1652-01,Monobenzone ,Tyrosinase,5.00E-06,J4,PD-SC1-01
S1557,S1557-01,KRN 633,VEGFR,5.00E-06,L16,PD-SC1-01
S2015,S2015-01,Suplatast Tosylate,IL Receptor,5.00E-06,E11,PD-SC1-01
S1524,S1524-01,AT7519,CDK,5.00E-06,I6,PD-SC1-01
S1897,S1897-01,Potassium Iodide,Others,5.00E-06,J19,PD-SC1-01
S1933,S1933-01,Triamcinolone,Glucocorticoid Receptor,5.00E-06,M9,PD-SC1-01
S1608,S1608-01,Pyridostigmine Bromide ,AChR,5.00E-06,D3,PD-SC1-01
S1614,S1614-01,Riluzole,GluR#Sodium Channel,5.00E-06,E7,PD-SC1-01
S1576,S1576-01,Sulfasalazine,Immunology & Inflammation related,5.00E-06,J20,PD-SC1-01
S1622,S1622-01,Prednisone ,Glucocorticoid Receptor#Immunology & Inflammation related,5.00E-06,F5,PD-SC1-01
S1623,S1623-01,Acetylcysteine,TNF-alpha#ROS,5.00E-06,L8,PD-SC1-01
S1680,S1680-01,Disulfiram ,Dehydrogenase,5.00E-06,J15,PD-SC1-01
S1626,S1626-01,Naproxen Sodium,COX,5.00E-06,E3,PD-SC1-01
S1679,S1679-01,Flurbiprofen ,Immunology & Inflammation related,5.00E-06,D17,PD-SC1-01
S1638,S1638-01,Ibuprofen ,COX,5.00E-06,I18,PD-SC1-01
S1666,S1666-01,Flucytosine,Anti-infection,5.00E-06,K21,PD-SC1-01
S1639,S1639-01,Amprenavir ,HIV Protease,5.00E-06,D20,PD-SC1-01
S1653,S1653-01,Tretinoin,Retinoid Receptor,5.00E-06,L21,PD-SC1-01
S1654,S1654-01,Phenylbutazone ,Immunology & Inflammation related,5.00E-06,J11,PD-SC1-01
S1645,S1645-01,Ketoprofen ,COX,5.00E-06,M15,PD-SC1-01
S1647,S1647-01,Adenosine,Adenosine Receptor,5.00E-06,D21,PD-SC1-01
S1649,S1649-01,Zolmitriptan ,5-HT Receptor,5.00E-06,L20,PD-SC1-01
S1941,S1941-01,Enalapril Maleate,RAAS,5.00E-06,K9,PD-SC1-01
S2111,S2111-01,Lapatinib,EGFR#HER2,5.00E-06,M4,PD-SC1-01
S2170,S2170-01,Givinostat,HDAC,5.00E-06,K17,PD-SC1-01
S2217,S2217-01,Irinotecan HCl Trihydrate,Topoisomerase,5.00E-06,D18,PD-SC1-01
S2168,S2168-01,PD128907 HCl,Dopamine Receptor,5.00E-06,H20,PD-SC1-01
S2466,S2466-01,Estriol,Estrogen/progestogen Receptor,5.00E-06,G20,PD-SC1-01
S2167,S2167-01,Bazedoxifene Acetate,Estrogen/progestogen Receptor,5.00E-06,M8,PD-SC1-01
S2116,S2116-01,Conivaptan HCl ,Vasopressin Receptor,5.00E-06,G17,PD-SC1-01
S2156,S2156-01,LY2886721,BACE,5.00E-06,I19,PD-SC1-01
S2130,S2130-01,Atropine sulfate monohydrate,AChR,5.00E-06,K18,PD-SC1-01
S2113,S2113-01,Cisatracurium Besylate,Adrenergic Receptor,5.00E-06,N15,PD-SC1-01
S2128,S2128-01,Bazedoxifene HCl,Estrogen/progestogen Receptor,5.00E-06,G7,PD-SC1-01
S2461,S2461-01,Domperidone ,Dopamine Receptor,5.00E-06,G15,PD-SC1-01
S2119,S2119-01,Probucol,LDL,5.00E-06,D11,PD-SC1-01
S2471,S2471-01,Gallamine Triethiodide ,AChR,5.00E-06,L18,PD-SC1-01
S2460,S2460-01,Pramipexole,Dopamine Receptor,5.00E-06,G19,PD-SC1-01
S2149,S2149-01,GSK1292263,GPR,5.00E-06,N7,PD-SC1-01
S2456,S2456-01,Chlorpromazine HCl,Potassium Channel#Dopamine Receptor,5.00E-06,M7,PD-SC1-01
S2287,S2287-01,Cytisine,AChR,5.00E-06,N9,PD-SC1-01
S2289,S2289-01,Daidzin,Dehydrogenase,5.00E-06,E8,PD-SC1-01
S2310,S2310-01,Honokiol,Akt#MEK,5.00E-06,F10,PD-SC1-01
S2346,S2346-01,Puerarin,5-HT Receptor,5.00E-06,K7,PD-SC1-01
S2348,S2348-01,Rotenone,Anti-infection,5.00E-06,H6,PD-SC1-01
S2286,S2286-01,Cyclosporin A ,Immunology & Inflammation related,5.00E-06,G5,PD-SC1-01
S2247,S2247-01,Buparlisib,PI3K,5.00E-06,H5,PD-SC1-01
S2349,S2349-01,Rutaecarpine,COX,5.00E-06,E5,PD-SC1-01
S2459,S2459-01,Clozapine ,5-HT Receptor,5.00E-06,D7,PD-SC1-01
S2350,S2350-01,Rutin,Immunology & Inflammation related,5.00E-06,C15,PD-SC1-01
S2367,S2367-01,Tetrahydropapaverine HCl,Hydroxylase,5.00E-06,I4,PD-SC1-01
S2371,S2371-01,Vanillylacetone,Others,5.00E-06,N11,PD-SC1-01
S2437,S2437-01,Rotundine,Dopamine Receptor,5.00E-06,F22,PD-SC1-01
S2451,S2451-01,Amantadine HCl,Dopamine Receptor,5.00E-06,N8,PD-SC1-01
S2240,S2240-01,Fesoterodine Fumarate ,AChR,5.00E-06,I21,PD-SC1-01
S2452,S2452-01,Amfebutamone HCl,AChR#Dopamine Receptor,5.00E-06,E19,PD-SC1-01
S2454,S2454-01,Bupivacaine HCl ,Sodium Channel,5.00E-06,M5,PD-SC1-01
S2455,S2455-01,Bethanechol chloride,AChR,5.00E-06,C4,PD-SC2-01
S2351,S2351-01,Salicin,COX,5.00E-06,J8,PD-SC2-01
S2108,S2108-01,Flunixin Meglumin,COX,5.00E-06,J21,PD-SC2-01
S2222,S2222-01,PF-3716556,ATPase#Proton Pump,5.00E-06,H22,PD-SC2-01
S2192,S2192-01,Sapitinib,EGFR#HER2,5.00E-06,G6,PD-SC2-01
S2200,S2200-01,Raf265 derivative,Raf,5.00E-06,M20,PD-SC2-01
S2126,S2126-01,Naftopidil ,Adrenergic Receptor,5.00E-06,K17,PD-SC2-01
S2281,S2281-01,Chrysin,Others,5.00E-06,N6,PD-SC2-01
S2104,S2104-01,Levosulpiride,Dopamine Receptor,5.00E-06,J20,PD-SC2-01
S2378,S2378-01,Butylscopolamine Bromide,Others,5.00E-06,C20,PD-SC2-01
S2037,S2037-01,Candesartan Cilexetil,RAAS,5.00E-06,C17,PD-SC2-01
S2043,S2043-01,Memantine HCl,P450 (e.g. CYP17)#AMPA Receptor-kainate Receptor-NMDA Receptor,5.00E-06,N10,PD-SC2-01
S2040,S2040-01,Nimesulide,COX,5.00E-06,J15,PD-SC2-01
S2055,S2055-01,Gimeracil,Dehydrogenase,5.00E-06,D22,PD-SC2-01
S2077,S2077-01,Atorvastatin Calcium ,HMG-CoA Reductase,5.00E-06,E3,PD-SC2-01
S2082,S2082-01,Adiphenine HCl,AChR,5.00E-06,G4,PD-SC2-01
S2087,S2087-01,Rivastigmine Tartrate,AChR,5.00E-06,L9,PD-SC2-01
S2090,S2090-01,Dexmedetomidine HCl ,Adrenergic Receptor,5.00E-06,L5,PD-SC2-01
S2096,S2096-01,Almotriptan Malate,5-HT Receptor,5.00E-06,M21,PD-SC2-01
S2102,S2102-01,Rasagiline Mesylate,MAO,5.00E-06,G20,PD-SC2-01
S2134,S2134-01,AZD8330,MEK,5.00E-06,I17,PD-SC2-01
S2624,S2624-01,OSI-027,mTOR,5.00E-06,M10,PD-SC2-01
S2894,S2894-01,SB742457,5-HT Receptor,5.00E-06,E17,PD-SC2-01
S2602,S2602-01,Acemetacin,COX,5.00E-06,F16,PD-SC2-01
S2528,S2528-01,Ciclopirox ,ATPase#Anti-infection,5.00E-06,I6,PD-SC2-01
S2586,S2586-01,Dimethyl Fumarate,Others,5.00E-06,D4,PD-SC2-01
S2629,S2629-01,PNU-120596,AChR,5.00E-06,H6,PD-SC2-01
S2577,S2577-01,Phenacetin,COX,5.00E-06,N4,PD-SC2-01
S2903,S2903-01,Lumiracoxib,COX,5.00E-06,N3,PD-SC2-01
S2633,S2633-01,NPS-2143,CaSR,5.00E-06,H7,PD-SC2-01
S2570,S2570-01,Prednisolone Acetate ,Glucocorticoid Receptor,5.00E-06,J4,PD-SC2-01
S2565,S2565-01,Amoxicillin Sodium,Anti-infection,5.00E-06,N8,PD-SC2-01
S2556,S2556-01,Rosiglitazone ,PPAR,5.00E-06,C9,PD-SC2-01
S2549,S2549-01,Trospium chloride ,AChR,5.00E-06,H8,PD-SC2-01
S2579,S2579-01,Zidovudine ,Reverse Transcriptase,5.00E-06,L20,PD-SC2-01
S2892,S2892-01,VU 0361737,GluR,5.00E-06,E19,PD-SC2-01
S2679,S2679-01,Flavopiridol HCl,CDK,5.00E-06,G21,PD-SC2-01
S2659,S2659-01,5-hydroxymethyl Tolterodine,AChR,5.00E-06,J5,PD-SC2-01
S2852,S2852-01,BRL-54443,5-HT Receptor,5.00E-06,I3,PD-SC2-01
S2849,S2849-01,SB269970 HCl,5-HT Receptor,5.00E-06,L22,PD-SC2-01
S2828,S2828-01,JNJ-1661010,FAAH,5.00E-06,H9,PD-SC2-01
S2797,S2797-01,Lonafarnib,Transferase,5.00E-06,K7,PD-SC2-01
S2787,S2787-01,Laquinimod,Immunology & Inflammation related,5.00E-06,D15,PD-SC2-01
S2784,S2784-01,TAK-285,EGFR#HER2,5.00E-06,G11,PD-SC2-01
S2776,S2776-01,CPI-613,Dehydrogenase,5.00E-06,N5,PD-SC2-01
S2775,S2775-01,Nocodazole,Autophagy#Microtubule Associated,5.00E-06,M6,PD-SC2-01
S2875,S2875-01,Prucalopride,5-HT Receptor,5.00E-06,I15,PD-SC2-01
S2762,S2762-01,Alectinib,ALK,5.00E-06,E20,PD-SC2-01
S2720,S2720-01,ZM 336372,Raf,5.00E-06,I11,PD-SC2-01
S2698,S2698-01,RS-127445,5-HT Receptor,5.00E-06,J3,PD-SC2-01
S2695,S2695-01,Nepicastat HCl,Hydroxylase,5.00E-06,C18,PD-SC2-01
S2690,S2690-01,ADX-47273,GluR,5.00E-06,I22,PD-SC2-01
S2547,S2547-01,Tiotropium Bromide hydrate,AChR,5.00E-06,I16,PD-SC2-01
S2677,S2677-01,BRL-15572 dihydrochloride,5-HT Receptor,5.00E-06,H10,PD-SC2-01
S2673,S2673-01,Trametinib,MEK,5.00E-06,C22,PD-SC2-01
S2663,S2663-01,WAY-100635 Maleate,5-HT Receptor,5.00E-06,D5,PD-SC2-01
S2727,S2727-01,Dacomitinib,EGFR,5.00E-06,C5,PD-SC2-01
S2541,S2541-01,Clomipramine HCl ,5-HT Receptor,5.00E-06,L16,PD-SC2-01
S2895,S2895-01,Tyrphostin 9 ,PDGFR#EGFR,5.00E-06,I20,PD-SC2-01
S2524,S2524-01,Phenytoin Sodium,Sodium Channel,5.00E-06,D18,PD-SC2-01
S2864,S2864-01,IMD 0354,IkappaB/IKK,5.00E-06,L7,PD-SC2-01
S2689,S2689-01,WAY-600,mTOR,5.00E-06,D10,PD-SC2-01
S2719,S2719-01,AMG-900,Aurora Kinase,5.00E-06,J17,PD-SC2-01
S2799,S2799-01,Daporinad,Transferase,5.00E-06,N18,PD-SC2-01
S2741,S2741-01,Niraparib,PARP,5.00E-06,C8,PD-SC2-01
S2853,S2853-01,Carfilzomib,Proteasome,5.00E-06,M22,PD-SC2-01
S3022,S3022-01,Cabazitaxel ,Microtubule Associated,5.00E-06,D11,PD-SC2-01
S2529,S2529-01,Dopamine HCl ,Dopamine Receptor,5.00E-06,L18,PD-SC2-01
S3021,S3021-01,Rimonabant,Cannabinoid Receptor,5.00E-06,E6,PD-SC2-01
S3018,S3018-01,Niflumic acid,COX#GABA Receptor,5.00E-06,H11,PD-SC2-01
S3017,S3017-01,Aspirin,COX,5.00E-06,D17,PD-SC2-01
S3012,S3012-01,Pazopanib,c-Kit#PDGFR#VEGFR,5.00E-06,N7,PD-SC2-01
S3008,S3008-01,Zaltoprofen,COX,5.00E-06,G19,PD-SC2-01
S2789,S2789-01,Tofacitinib,JAK,5.00E-06,K20,PD-SC2-01
S2865,S2865-01,VUF 10166,5-HT Receptor,5.00E-06,G22,PD-SC2-01
S2930,S2930-01,Pifithrin-mu,p53,5.00E-06,G15,PD-SC2-01
S2785,S2785-01,A-803467,Sodium Channel,5.00E-06,N9,PD-SC2-01
S2506,S2506-01,Roxithromycin ,Anti-infection,5.00E-06,E10,PD-SC2-01
S2923,S2923-01,Salubrinal,PERK,5.00E-06,H21,PD-SC2-01
S2508,S2508-01,Scopolamine HBr,AChR,5.00E-06,K9,PD-SC2-01
S2504,S2504-01,Ribavirin ,Anti-infection,5.00E-06,H20,PD-SC2-01
S2497,S2497-01,Pancuronium dibromide,AChR,5.00E-06,G18,PD-SC2-01
S2922,S2922-01,Icotinib,EGFR,5.00E-06,D6,PD-SC2-01
S3005,S3005-01,Paroxetine HCl,AChR#5-HT Receptor,5.00E-06,G9,PD-SC2-01
S2856,S2856-01,SB 271046 hydrochloride,5-HT Receptor,5.00E-06,N22,PD-SC2-01
S2493,S2493-01,Olanzapine,5-HT Receptor#Dopamine Receptor,5.00E-06,F20,PD-SC2-01
S3144,S3144-01,Darifenacin HBr,AChR,5.00E-06,M5,PD-SC2-01
S3163,S3163-01,Benztropine mesylate,Dopamine Receptor,5.00E-06,E4,PD-SC2-01
S3173,S3173-01,Antipyrine,COX,5.00E-06,M4,PD-SC2-01
S3202,S3202-01,Catharanthine,AChR,5.00E-06,M3,PD-SC2-01
S3180,S3180-01,Eletriptan HBr ,5-HT Receptor,5.00E-06,E11,PD-SC2-01
S3189,S3189-01,Ropinirole HCl,Dopamine Receptor,5.00E-06,E18,PD-SC2-01
S3196,S3196-01,Azacyclonol,5-HT Receptor,5.00E-06,L21,PD-SC2-01
S3200,S3200-01,Triflusal,Thrombin,5.00E-06,F19,PD-SC2-01
S3201,S3201-01,Trifluoperazine 2HCl,Dopamine Receptor,5.00E-06,L8,PD-SC2-01
S3627,S3627-01,Tryptamine,TAAR,5.00E-06,M17,PD-SC2-01
